"prix","type","classe","tarif","dest","duree","jour"
58.15,"AVE","Turista","Promo",0,190,5
88.95,"AVE","Turista","Promo",0,150,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
66.75,"AVE","Turista","Promo",0,182,1
58.15,"AVE","Turista","Promo",0,165,5
127.1,"AVE","Turista","Flexible",0,150,4
100.4,"AVE","Turista","Promo",0,150,3
58.15,"AVE","Turista","Promo",0,190,5
107.7,"AVE","Turista","Flexible",0,165,5
68.65,"AVE","Turista","Promo",0,150,2
85.1,"AVE","Turista","Promo",0,190,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,7
127.1,"AVE","Turista","Flexible",0,150,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
107.7,"AVE","Turista","Flexible",0,190,4
66.75,"AVE","Turista","Promo",0,167,5
49.55,"AVE","Turista","Promo",0,167,2
85.1,"AVE","Turista","Promo",0,190,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
66.75,"AVE","Turista","Promo",0,170,5
66.75,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,190,3
66.75,"AVE","Turista","Promo",0,190,7
66.75,"AVE-TGV","Turista","Promo",0,175,4
58.15,"AVE","Turista","Promo",0,190,4
100.4,"AVE","Turista","Promo",0,150,2
107.7,"AVE","Turista","Flexible",0,190,1
100.4,"AVE","Turista","Promo",0,150,4
68.65,"AVE","Turista","Promo",0,150,5
49.55,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,165,5
66.75,"AVE","Turista","Promo",0,190,2
127.1,"AVE","Turista","Flexible",0,150,3
107.7,"AVE-TGV","Turista","Flexible",0,175,3
127.1,"AVE","Turista","Flexible",0,150,3
58.15,"AVE","Turista","Promo",0,180,4
58.15,"AVE","Turista","Promo",0,190,4
107.7,"AVE","Turista","Flexible",0,170,6
107.7,"AVE","Turista","Flexible",0,190,4
107.7,"AVE","Turista","Flexible",0,190,6
85.1,"AVE","Turista","Promo",0,165,4
127.1,"AVE","Turista","Flexible",0,150,4
75.4,"AVE","Turista","Promo",0,165,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
85.1,"AVE","Turista","Promo",0,190,4
85.1,"AVE","Turista","Promo",0,165,2
75.4,"AVE","Turista","Promo",0,165,7
68.65,"AVE","Turista","Promo",0,150,5
107.7,"AVE","Turista","Flexible",0,190,4
66.75,"AVE","Turista","Promo",0,165,6
85.1,"AVE","Turista","Promo",0,165,3
58.15,"AVE","Turista","Promo",0,180,4
85.1,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,190,7
107.7,"AVE","Turista","Flexible",0,190,2
66.75,"AVE-TGV","Turista","Promo",0,175,2
107.7,"AVE","Turista","Flexible",0,165,2
107.7,"AVE","Turista","Flexible",0,190,5
75.4,"AVE","Turista","Promo",0,156,5
75.4,"AVE","Turista","Promo",0,165,2
75.4,"AVE","Turista","Promo",0,190,3
66.75,"AVE","Turista","Promo",0,170,3
107.7,"AVE-TGV","Turista","Flexible",0,175,1
85.1,"AVE","Turista","Promo",0,165,4
107.7,"AVE","Turista","Flexible",0,165,4
49.55,"AVE","Turista","Promo",0,167,5
75.4,"AVE","Turista","Promo",0,190,7
100.4,"AVE","Turista","Promo",0,150,1
100.4,"AVE","Turista","Promo",0,150,2
58.15,"AVE","Turista","Promo",0,190,7
66.75,"AVE","Turista","Promo",0,156,3
107.7,"AVE","Turista","Flexible",0,190,2
107.7,"AVE","Turista","Flexible",0,170,1
127.1,"AVE","Turista","Flexible",0,150,2
85.1,"AVE","Turista","Promo",0,190,3
85.1,"AVE","Turista","Promo",0,190,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
75.4,"AVE-TGV","Turista","Promo",0,175,7
85.1,"AVE","Turista","Promo",0,190,6
100.4,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,165,2
75.4,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,190,4
107.7,"AVE","Turista","Flexible",0,180,4
85.1,"AVE","Turista","Promo",0,190,3
78.8,"AVE","Turista","Promo",0,150,5
66.75,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,165,3
66.75,"AVE","Turista","Promo",0,156,5
66.75,"AVE","Turista","Promo",0,190,2
75.4,"AVE","Turista","Promo",0,190,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
66.75,"AVE","Turista","Promo",0,165,4
85.1,"AVE-TGV","Turista","Promo",0,175,3
107.7,"AVE","Turista","Flexible",0,190,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
66.75,"AVE","Turista","Promo",0,180,5
85.1,"AVE","Turista","Promo",0,190,2
88.95,"AVE","Turista","Promo",0,150,2
107.7,"AVE","Turista","Flexible",0,165,4
58.15,"AVE","Turista","Promo",0,165,1
58.15,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,165,6
75.4,"AVE-TGV","Turista","Promo",0,175,3
107.7,"AVE","Turista","Flexible",0,165,1
49.55,"AVE","Turista","Promo",0,190,3
40.95,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,165,6
75.4,"AVE","Turista","Promo",0,180,2
66.75,"AVE","Turista","Promo",0,190,4
107.7,"AVE-TGV","Turista","Flexible",0,175,2
75.4,"AVE","Turista","Promo",0,150,6
66.75,"AVE","Turista","Promo",0,190,4
58.15,"AVE","Turista","Promo",0,165,7
75.4,"AVE","Turista","Promo",0,190,4
75.4,"AVE-TGV","Turista","Promo",0,175,6
66.75,"AVE","Turista","Promo",0,156,5
75.4,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,165,1
58.15,"AVE","Turista","Promo",0,190,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
75.4,"AVE","Turista","Promo",0,190,5
107.7,"AVE-TGV","Turista","Flexible",0,175,1
78.8,"AVE","Turista","Promo",0,150,6
66.75,"AVE","Turista","Promo",0,165,4
107.7,"AVE","Turista","Flexible",0,165,5
66.75,"AVE","Turista","Promo",0,165,7
75.4,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,156,3
107.7,"AVE","Turista","Flexible",0,190,2
66.75,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,165,6
66.75,"AVE","Turista","Promo",0,165,3
75.4,"AVE-TGV","Turista","Promo",0,175,6
107.7,"AVE","Turista","Flexible",0,170,7
75.4,"AVE-TGV","Turista","Promo",0,175,1
75.4,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,190,2
85.1,"AVE","Turista","Promo",0,190,3
75.4,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,190,6
66.75,"AVE","Turista","Promo",0,165,3
66.75,"AVE","Turista","Promo",0,165,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
58.15,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,190,2
58.15,"AVE","Turista","Promo",0,165,5
107.7,"AVE","Turista","Flexible",0,190,5
75.4,"AVE","Turista","Promo",0,165,7
107.7,"AVE","Turista","Flexible",0,190,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
75.4,"AVE","Turista","Promo",0,165,1
58.15,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,165,4
66.75,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,190,7
85.1,"AVE-TGV","Turista","Promo",0,175,3
68.65,"AVE","Turista","Promo",0,150,2
75.4,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,190,3
75.4,"AVE","Turista","Promo",0,190,2
68.65,"AVE","Turista","Promo",0,150,7
75.4,"AVE","Turista","Promo",0,165,2
66.75,"AVE","Turista","Promo",0,165,5
49.55,"AVE","Turista","Promo",0,167,3
75.4,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,190,2
107.7,"AVE","Turista","Flexible",0,190,2
66.75,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,165,3
88.95,"AVE","Turista","Promo",0,150,6
66.75,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,165,2
58.15,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,190,3
68.65,"AVE","Turista","Promo",0,150,6
58.15,"AVE","Turista","Promo",0,190,4
107.7,"AVE","Turista","Flexible",0,190,1
85.1,"AVE","Turista","Promo",0,190,3
66.75,"AVE","Turista","Promo",0,180,4
75.4,"AVE-TGV","Turista","Promo",0,175,5
58.15,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,165,1
49.55,"AVE","Turista","Promo",0,165,4
66.75,"AVE-TGV","Turista","Promo",0,175,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
107.7,"AVE","Turista","Flexible",0,170,3
85.1,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,165,6
66.75,"AVE","Turista","Promo",0,190,7
49.55,"AVE","Turista","Promo",0,167,5
75.4,"AVE","Turista","Promo",0,165,1
107.7,"AVE","Turista","Flexible",0,190,2
75.4,"AVE","Turista","Promo",0,190,2
107.7,"AVE-TGV","Turista","Flexible",0,175,6
58.15,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,165,2
66.75,"AVE","Turista","Promo",0,190,7
66.75,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,165,3
58.15,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,190,4
107.7,"AVE-TGV","Turista","Flexible",0,175,7
107.7,"AVE","Turista","Flexible",0,190,6
66.75,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,165,6
58.15,"AVE","Turista","Promo",0,167,7
88.95,"AVE","Turista","Promo",0,150,1
107.7,"AVE","Turista","Flexible",0,150,1
49.55,"AVE","Turista","Promo",0,150,3
58.15,"AVE","Turista","Promo",0,190,5
85.1,"AVE-TGV","Turista","Promo",0,175,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
66.75,"AVE","Turista","Promo",0,190,3
75.4,"AVE","Turista","Promo",0,180,3
66.75,"AVE","Turista","Promo",0,165,1
75.4,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,165,3
78.8,"AVE","Turista","Promo",0,150,1
75.4,"AVE-TGV","Turista","Promo",0,175,3
85.1,"AVE","Turista","Promo",0,165,5
100.4,"AVE","Turista","Promo",0,150,5
85.1,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,190,3
66.75,"AVE","Turista","Promo",0,165,4
58.15,"AVE","Turista","Promo",0,156,4
85.1,"AVE","Turista","Promo",0,165,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
66.75,"AVE-TGV","Turista","Promo",0,175,7
75.4,"AVE","Turista","Promo",0,170,4
85.1,"AVE","Turista","Promo",0,165,2
85.1,"AVE","Turista","Promo",0,190,6
78.8,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,170,2
85.1,"AVE","Turista","Promo",0,180,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
66.75,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,190,7
66.75,"AVE","Turista","Promo",0,190,5
85.1,"AVE","Turista","Promo",0,165,4
85.1,"AVE","Turista","Promo",0,165,1
85.1,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,165,5
66.75,"AVE","Turista","Promo",0,167,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
75.4,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,190,4
85.1,"AVE-TGV","Turista","Promo",0,175,6
66.75,"AVE","Turista","Promo",0,165,5
66.75,"AVE","Turista","Promo",0,150,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
127.1,"AVE","Turista","Flexible",0,150,3
100.4,"AVE","Turista","Promo",0,150,5
66.75,"AVE","Turista","Promo",0,167,7
107.7,"AVE","Turista","Flexible",0,190,1
107.7,"AVE-TGV","Turista","Flexible",0,175,7
85.1,"AVE","Turista","Promo",0,165,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
58.15,"AVE","Turista","Promo",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
75.4,"AVE","Turista","Promo",0,190,7
58.15,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,165,4
40.95,"AVE","Turista","Promo",0,150,3
66.75,"AVE","Turista","Promo",0,167,3
75.4,"AVE","Turista","Promo",0,156,3
75.4,"AVE","Turista","Promo",0,190,7
85.1,"AVE","Turista","Promo",0,165,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
85.1,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,180,4
75.4,"AVE","Turista","Promo",0,180,7
85.08,"AVE","Turista","Promo",0,165,5
107.7,"AVE","Turista","Flexible",0,165,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
75.4,"AVE","Turista","Promo",0,190,6
75.39,"AVE","Turista","Promo",0,165,7
75.4,"AVE","Turista","Promo",0,190,3
85.1,"AVE","Turista","Promo",0,165,6
85.1,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,190,1
58.15,"AVE","Turista","Promo",0,150,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
75.4,"AVE","Turista","Promo",0,180,7
58.16,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,165,4
58.15,"AVE","Turista","Promo",0,190,7
107.7,"AVE","Turista","Flexible",0,190,1
75.39,"AVE","Turista","Promo",0,190,3
100.4,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,190,5
58.45,"AVE","Turista","Promo",0,150,4
66.75,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,190,4
85.1,"AVE","Turista","Promo",0,190,1
75.4,"AVE","Turista","Promo",0,190,7
78.8,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,165,3
107.7,"AVE","Turista","Flexible",0,190,1
85.1,"AVE","Turista","Promo",0,190,6
58.15,"AVE","Turista","Promo",0,150,6
100.4,"AVE","Turista","Promo",0,150,5
66.75,"AVE","Turista","Promo",0,156,3
88.95,"AVE","Turista","Promo",0,150,1
85.1,"AVE","Turista","Promo",0,165,5
85.1,"AVE-TGV","Turista","Promo",0,175,2
75.4,"AVE","Turista","Promo",0,170,4
66.75,"AVE","Turista","Promo",0,165,2
100.4,"AVE","Turista","Promo",0,150,4
85.1,"AVE","Turista","Promo",0,150,6
127.1,"AVE","Turista","Flexible",0,150,1
75.4,"AVE","Turista","Promo",0,165,5
66.75,"AVE","Turista","Promo",0,156,2
75.4,"AVE","Turista","Promo",0,190,2
107.7,"AVE","Turista","Flexible",0,190,6
75.4,"AVE-TGV","Turista","Promo",0,175,4
58.15,"AVE","Turista","Promo",0,165,4
100.4,"AVE","Turista","Promo",0,150,4
75.4,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,190,7
127.1,"AVE","Turista","Flexible",0,150,6
66.75,"AVE","Turista","Promo",0,165,1
88.95,"AVE","Turista","Promo",0,150,1
100.4,"AVE","Turista","Promo",0,150,6
68.65,"AVE","Turista","Promo",0,150,6
75.4,"AVE","Turista","Promo",0,190,2
85.1,"AVE","Turista","Promo",0,170,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
75.4,"AVE","Turista","Promo",0,165,7
68.65,"AVE","Turista","Promo",0,150,6
66.75,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,190,6
107.7,"AVE","Turista","Flexible",0,150,1
107.7,"AVE","Turista","Flexible",0,180,6
75.4,"AVE","Turista","Promo",0,190,7
107.7,"AVE","Turista","Flexible",0,165,1
66.75,"AVE","Turista","Promo",0,190,3
75.4,"AVE","Turista","Promo",0,190,5
107.7,"AVE","Turista","Flexible",0,180,6
75.4,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,190,6
66.75,"AVE","Turista","Promo",0,190,6
75.4,"AVE","Turista","Promo",0,190,2
85.1,"AVE","Turista","Promo",0,165,1
75.4,"AVE","Turista","Promo",0,190,4
100.4,"AVE","Turista","Promo",0,150,2
75.4,"AVE","Turista","Promo",0,165,4
75.4,"AVE","Turista","Promo",0,165,2
75.4,"AVE","Turista","Promo",0,165,7
66.75,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,165,6
75.4,"AVE","Turista","Promo",0,190,5
85.1,"AVE","Turista","Promo",0,156,3
58.15,"AVE","Turista","Promo",0,167,3
75.4,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,190,2
100.4,"AVE","Turista","Promo",0,150,5
78.8,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,190,1
66.75,"AVE","Turista","Promo",0,190,3
107.7,"AVE","Turista","Flexible",0,190,1
49.55,"AVE","Turista","Promo",0,182,6
58.15,"AVE","Turista","Promo",0,156,4
85.1,"AVE","Turista","Promo",0,190,2
75.4,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,180,7
75.4,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,180,3
127.1,"AVE","Turista","Flexible",0,150,6
85.1,"AVE","Turista","Promo",0,165,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
85.1,"AVE","Turista","Promo",0,165,1
66.75,"AVE","Turista","Promo",0,165,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
100.4,"AVE","Turista","Promo",0,150,2
75.4,"AVE-TGV","Turista","Promo",0,175,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
85.1,"AVE","Turista","Promo",0,165,6
49.55,"AVE","Turista","Promo",0,150,4
75.4,"AVE","Turista","Promo",0,190,1
75.4,"AVE","Turista","Promo",0,190,7
107.7,"AVE","Turista","Flexible",0,190,6
88.95,"AVE","Turista","Promo",0,150,6
68.65,"AVE","Turista","Promo",0,150,6
85.1,"AVE-TGV","Turista","Promo",0,175,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
75.4,"AVE","Turista","Promo",0,156,5
100.4,"AVE","Turista","Promo",0,150,2
85.1,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,165,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
85.1,"AVE","Turista","Promo",0,182,1
66.75,"AVE","Turista","Promo",0,165,7
75.4,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,190,3
107.7,"AVE","Turista","Flexible",0,165,4
85.1,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,165,2
107.7,"AVE","Turista","Flexible",0,170,7
75.4,"AVE","Turista","Promo",0,180,7
66.75,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,190,1
75.4,"AVE","Turista","Promo",0,180,2
107.7,"AVE-TGV","Turista","Flexible",0,175,2
85.1,"AVE","Turista","Promo",0,165,1
107.7,"AVE","Turista","Flexible",0,190,1
85.1,"AVE","Turista","Promo",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
127.1,"AVE","Turista","Flexible",0,150,3
75.4,"AVE","Turista","Promo",0,165,3
107.7,"AVE","Turista","Flexible",0,165,4
107.7,"AVE","Turista","Flexible",0,165,4
75.4,"AVE","Turista","Promo",0,165,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
107.7,"AVE","Turista","Flexible",0,190,6
85.1,"AVE","Turista","Promo",0,190,7
66.75,"AVE","Turista","Promo",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
49.55,"AVE","Turista","Promo",0,167,7
49.55,"AVE","Turista","Promo",0,167,2
75.4,"AVE","Turista","Promo",0,182,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
75.4,"AVE","Turista","Promo",0,190,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,6
66.75,"AVE","Turista","Promo",0,182,1
78.8,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,165,6
43.25,"REXPRESS","Turista","AdultoIda",0,544,7
66.77,"AVE","Turista","Promo",0,167,5
75.4,"AVE","Turista","Promo",0,180,2
100.4,"AVE","Turista","Promo",0,150,5
43.25,"REXPRESS","Turista","AdultoIda",0,544,2
85.1,"AVE","Turista","Promo",0,165,3
58.15,"AVE","Turista","Promo",0,150,6
75.4,"AVE","Turista","Promo",0,180,6
85.1,"AVE","Turista","Promo",0,165,6
107.7,"AVE","Turista","Flexible",0,190,2
100.41,"AVE","Turista","Promo",0,150,5
49.55,"AVE","Turista","Promo",0,150,4
100.4,"AVE","Turista","Promo",0,150,2
75.4,"AVE","Turista","Promo",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
85.1,"AVE","Turista","Promo",0,190,5
66.75,"AVE","Turista","Promo",0,165,5
66.75,"AVE","Turista","Promo",0,190,1
85.1,"AVE","Turista","Promo",0,180,4
40.95,"AVE","Turista","Promo",0,190,2
85.1,"AVE","Turista","Promo",0,165,6
58.15,"AVE","Turista","Promo",0,165,4
85.1,"AVE","Turista","Promo",0,165,7
107.7,"AVE","Turista","Flexible",0,190,1
100.4,"AVE","Turista","Promo",0,150,4
66.75,"AVE","Turista","Promo",0,165,5
107.7,"AVE-TGV","Turista","Flexible",0,175,7
78.8,"AVE","Turista","Promo",0,150,1
100.4,"AVE","Turista","Promo",0,150,2
85.1,"AVE","Turista","Promo",0,190,1
85.1,"AVE","Turista","Promo",0,190,5
107.7,"AVE-TGV","Turista","Flexible",0,175,6
66.75,"AVE","Turista","Promo",0,190,7
127.1,"AVE","Turista","Flexible",0,150,6
66.75,"AVE-TGV","Turista","Promo",0,175,3
85.1,"AVE","Turista","Promo",0,165,5
75.4,"AVE","Turista","Promo",0,165,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,5
107.7,"AVE","Turista","Flexible",0,165,2
78.8,"AVE","Turista","Promo",0,150,6
78.8,"AVE","Turista","Promo",0,150,1
75.4,"AVE-TGV","Turista","Promo",0,175,7
88.95,"AVE","Turista","Promo",0,150,2
66.75,"AVE","Turista","Promo",0,150,3
107.7,"AVE","Turista","Flexible",0,190,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
85.1,"AVE","Turista","Promo",0,165,7
75.4,"AVE","Turista","Promo",0,190,7
49.55,"AVE","Turista","Promo",0,150,5
75.4,"AVE","Turista","Promo",0,190,7
75.4,"AVE","Turista","Promo",0,190,7
78.8,"AVE","Turista","Promo",0,150,6
78.8,"AVE","Turista","Promo",0,150,4
75.4,"AVE","Turista","Promo",0,150,6
85.1,"AVE","Turista","Promo",0,190,5
75.4,"AVE","Turista","Promo",0,165,3
107.7,"AVE","Turista","Flexible",0,165,1
49.55,"AVE","Turista","Promo",0,150,3
107.7,"AVE","Turista","Flexible",0,165,2
66.75,"AVE","Turista","Promo",0,190,2
75.4,"AVE","Turista","Promo",0,165,4
43.25,"REXPRESS","Turista","AdultoIda",0,544,7
40.95,"AVE","Turista","Promo",0,190,4
58.15,"AVE","Turista","Promo",0,165,7
85.1,"AVE","Turista","Promo",0,165,4
100.4,"AVE","Turista","Promo",0,150,2
78.8,"AVE","Turista","Promo",0,150,1
43.25,"REXPRESS","Turista","AdultoIda",0,544,3
100.4,"AVE","Turista","Promo",0,150,6
88.95,"AVE","Turista","Promo",0,150,7
85.1,"AVE","Turista","Promo",0,190,7
58.15,"AVE","Turista","Promo",0,180,7
58.15,"AVE","Turista","Promo",0,190,4
85.1,"AVE-TGV","Turista","Promo",0,175,3
68.65,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,165,6
85.1,"AVE","Turista","Promo",0,165,3
66.75,"AVE","Turista","Promo",0,167,7
100.4,"AVE","Turista","Promo",0,150,3
78.8,"AVE","Turista","Promo",0,150,6
85.1,"AVE-TGV","Turista","Promo",0,175,5
107.7,"AVE","Turista","Flexible",0,165,1
100.4,"AVE","Turista","Promo",0,150,1
75.4,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,190,3
68.65,"AVE","Turista","Promo",0,150,2
58.15,"AVE","Turista","Promo",0,167,4
58.15,"AVE","Turista","Promo",0,150,2
88.95,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,190,5
68.65,"AVE","Turista","Promo",0,150,2
66.75,"AVE-TGV","Turista","Promo",0,175,4
100.4,"AVE","Turista","Promo",0,150,5
100.4,"AVE","Turista","Promo",0,150,3
58.15,"AVE","Turista","Promo",0,190,7
78.8,"AVE","Turista","Promo",0,150,5
100.4,"AVE","Turista","Promo",0,150,2
85.1,"AVE","Turista","Promo",0,190,2
78.8,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,165,1
100.4,"AVE","Turista","Promo",0,150,2
85.1,"AVE","Turista","Promo",0,190,2
58.15,"AVE","Turista","Promo",0,180,7
107.7,"AVE-TGV","Turista","Flexible",0,175,7
78.8,"AVE","Turista","Promo",0,150,7
68.65,"AVE","Turista","Promo",0,150,2
107.7,"AVE","Turista","Flexible",0,190,4
66.75,"AVE","Turista","Promo",0,190,5
107.7,"AVE","Turista","Flexible",0,190,6
68.65,"AVE","Turista","Promo",0,150,3
43.25,"REXPRESS","Turista","AdultoIda",0,544,4
66.75,"AVE","Turista","Promo",0,165,6
58.15,"AVE","Turista","Promo",0,165,5
85.1,"AVE","Turista","Promo",0,190,3
100.4,"AVE","Turista","Promo",0,150,2
40.95,"AVE","Turista","Promo",0,190,3
66.75,"AVE","Turista","Promo",0,165,3
75.4,"AVE","Turista","Promo",0,165,6
107.7,"AVE","Turista","Flexible",0,165,7
85.1,"AVE","Turista","Promo",0,190,4
58.15,"AVE","Turista","Promo",0,190,5
78.8,"AVE","Turista","Promo",0,150,6
107.7,"AVE","Turista","Flexible",0,165,6
107.7,"AVE","Turista","Flexible",0,190,1
100.4,"AVE","Turista","Promo",0,150,7
58.15,"AVE","Turista","Promo",0,165,7
88.95,"AVE","Turista","Promo",0,150,3
85.1,"AVE","Turista","Promo",0,190,2
85.1,"AVE","Turista","Promo",0,190,4
66.75,"AVE","Turista","Promo",0,165,7
40.95,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,165,3
85.1,"AVE","Turista","Promo",0,190,2
68.65,"AVE","Turista","Promo",0,150,5
100.4,"AVE","Turista","Promo",0,150,5
85.1,"AVE","Turista","Promo",0,165,2
58.15,"AVE","Turista","Promo",0,180,7
43.25,"REXPRESS","Turista","AdultoIda",0,544,1
85.1,"AVE","Turista","Promo",0,190,7
78.8,"AVE","Turista","Promo",0,150,6
58.15,"AVE","Turista","Promo",0,190,4
85.1,"AVE","Turista","Promo",0,190,4
75.4,"AVE","Turista","Promo",0,165,2
85.1,"AVE","Turista","Promo",0,190,1
