"prix","type","classe","tarif","dest","duree","jour"
54.45,"AVE-TGV","Preferente","Promo",0,175,3
127.05,"AVE-TGV","Preferente","Promo",0,175,1
68.95,"AVE","Preferente","Promo",0,190,2
181.5,"AVE","Preferente","Flexible",0,180,6
98,"AVE","Preferente","Promo",0,190,3
112.55,"AVE","Preferente","Promo",0,190,1
54.45,"AVE","Preferente","Promo",0,156,4
83.5,"AVE","Preferente","Promo",0,165,2
54.45,"AVE","Preferente","Promo",0,165,1
98,"AVE","Preferente","Promo",0,150,1
68.95,"AVE","Preferente","Promo",0,190,5
54.45,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,182,1
98,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,165,7
112.55,"AVE","Preferente","Promo",0,190,1
115.65,"AVE","Preferente","Promo",0,150,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
68.95,"AVE","Preferente","Promo",0,165,2
181.5,"AVE","Preferente","Flexible",0,190,2
98,"AVE","Preferente","Promo",0,156,5
68.95,"AVE","Preferente","Promo",0,165,6
98,"AVE","Preferente","Promo",0,190,6
181.5,"AVE","Preferente","Flexible",0,190,2
68.95,"AVE","Preferente","Promo",0,165,6
98,"AVE","Preferente","Promo",0,165,7
98,"AVE","Preferente","Promo",0,190,1
83.5,"AVE","Preferente","Promo",0,190,2
181.5,"AVE","Preferente","Flexible",0,165,3
110.6,"AVE","Preferente","Promo",0,190,6
68.95,"AVE","Preferente","Promo",0,190,2
181.5,"AVE","Preferente","Flexible",0,190,3
181.5,"AVE","Preferente","Flexible",0,165,3
98,"AVE","Preferente","Promo",0,170,7
98,"AVE","Preferente","Promo",0,190,2
68.95,"AVE","Preferente","Promo",0,150,1
112.55,"AVE","Preferente","Promo",0,190,1
181.5,"AVE","Preferente","Flexible",0,190,2
68.95,"AVE","Preferente","Promo",0,190,2
68.95,"AVE","Preferente","Promo",0,165,1
54.45,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,5
54.45,"AVE","Preferente","Promo",0,167,4
68.95,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,6
143.4,"AVE-TGV","Preferente","Promo",0,175,2
98,"AVE","Preferente","Promo",0,190,4
83.5,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,190,6
98.01,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,180,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,1
83.5,"AVE-TGV","Preferente","Promo",0,175,1
98,"AVE","Preferente","Promo",0,165,2
181.5,"AVE","Preferente","Flexible",0,190,2
68.95,"AVE","Preferente","Promo",0,170,3
98,"AVE","Preferente","Promo",0,165,1
83.5,"AVE-TGV","Preferente","Promo",0,175,2
98,"AVE","Preferente","Promo",0,182,1
98,"AVE","Preferente","Promo",0,190,5
143.4,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,190,6
54.45,"AVE","Preferente","Promo",0,190,4
54.45,"AVE","Preferente","Promo",0,167,3
98,"AVE","Preferente","Promo",0,180,2
54.45,"AVE","Preferente","Promo",0,150,5
83.5,"AVE","Preferente","Promo",0,190,2
54.45,"AVE","Preferente","Promo",0,167,3
53.2,"AVE","Preferente","Promo",0,167,7
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,165,6
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,190,5
83.5,"AVE","Preferente","Promo",0,190,1
83.5,"AVE","Preferente","Promo",0,165,1
115.65,"AVE","Preferente","Promo",0,150,3
98,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,190,3
115.67,"AVE","Preferente","Promo",0,150,3
54.45,"AVE","Preferente","Promo",0,167,2
181.5,"AVE","Preferente","Flexible",0,165,1
181.5,"AVE","Preferente","Flexible",0,190,1
98,"AVE","Preferente","Promo",0,190,1
181.5,"AVE","Preferente","Flexible",0,165,1
112.55,"AVE","Preferente","Promo",0,165,1
181.5,"AVE","Preferente","Flexible",0,190,2
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,165,7
98,"AVE","Preferente","Promo",0,165,7
112.55,"AVE","Preferente","Promo",0,165,1
98.55,"AVE","Preferente","Promo",0,150,4
181.5,"AVE","Preferente","Flexible",0,165,1
98,"AVE","Preferente","Promo",0,165,1
98,"AVE","Preferente","Promo",0,190,3
181.5,"AVE","Preferente","Flexible",0,165,4
98.55,"AVE","Preferente","Promo",0,150,3
181.5,"AVE","Preferente","Flexible",0,190,4
181.5,"AVE","Preferente","Flexible",0,165,6
98,"AVE","Preferente","Promo",0,190,3
98.55,"AVE","Preferente","Promo",0,150,4
112.55,"AVE-TGV","Preferente","Promo",0,175,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,165,1
86.8,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,165,7
81.4,"AVE","Preferente","Promo",0,150,6
98,"AVE","Preferente","Promo",0,190,1
115.65,"AVE","Preferente","Promo",0,150,2
83.5,"AVE","Preferente","Promo",0,190,1
115.65,"AVE","Preferente","Promo",0,150,6
83.5,"AVE","Preferente","Promo",0,190,6
98,"AVE","Preferente","Promo",0,165,7
98,"AVE","Preferente","Promo",0,190,1
68.95,"AVE","Preferente","Promo",0,150,5
98,"AVE","Preferente","Promo",0,190,1
181.5,"AVE","Preferente","Flexible",0,190,5
81.4,"AVE","Preferente","Promo",0,150,6
98,"AVE","Preferente","Promo",0,156,5
98.55,"AVE","Preferente","Promo",0,150,1
115.65,"AVE","Preferente","Promo",0,150,3
68.95,"AVE","Preferente","Promo",0,150,5
115.65,"AVE","Preferente","Promo",0,150,4
149.95,"AVE","Preferente","Promo",0,150,5
112.55,"AVE","Preferente","Promo",0,190,1
181.5,"AVE","Preferente","Flexible",0,190,3
98,"AVE","Preferente","Promo",0,165,1
86.8,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,190,1
115.65,"AVE","Preferente","Promo",0,150,6
181.5,"AVE","Preferente","Flexible",0,190,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,180,7
98,"AVE","Preferente","Promo",0,190,6
86.8,"AVE","Preferente","Promo",0,190,7
75.6,"AVE","Preferente","Promo",0,165,7
127.05,"AVE","Preferente","Promo",0,180,6
98,"AVE","Preferente","Promo",0,165,1
127.05,"AVE","Preferente","Promo",0,165,6
86.8,"AVE","Preferente","Promo",0,167,7
98,"AVE","Preferente","Promo",0,180,4
86.8,"AVE","Preferente","Promo",0,190,7
68.95,"AVE","Preferente","Promo",0,150,5
98,"AVE","Preferente","Promo",0,190,1
64.25,"AVE","Preferente","Promo",0,150,4
98,"AVE","Preferente","Promo",0,165,7
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,165,7
98,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,190,6
68.95,"AVE","Preferente","Promo",0,150,5
54.45,"AVE","Preferente","Promo",0,180,3
68.95,"AVE","Preferente","Promo",0,150,5
83.5,"AVE","Preferente","Promo",0,165,4
181.5,"AVE","Preferente","Flexible",0,190,3
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,6
115.65,"AVE","Preferente","Promo",0,150,3
98,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,180,1
115.65,"AVE","Preferente","Promo",0,150,3
181.5,"AVE","Preferente","Flexible",0,190,6
